다|多
다가|茶歌
다가지|多假之
다가지자|多假之資
다가채남|多可採覽
다가채람|多可採覽
다각천하목수인장|多刻天下牧守印章
다간|多姦
다간|多諫
다간금헌|多干禁憲
다감사사변|多減死徙邊
다강|多降
다강어|多降於
다강어후조|多降於後趙
다강오|多降於
다강오후조|多降於後趙
다강탈인처|多彊奪人妻
다거봉화|多擧烽火
다거성조|多擧城助
다거지자|多擧之者
다견궐태|多見闕殆
다견기부지량야|多見其不知量也
다견기부지양야|多見其不知量也
다견기불지량야|多見其不知量也
다견기불지양야|多見其不知量也
다견난문|多見難問
다견모만|多見侮慢
다견방훼|多見謗毁
다견빈차|多見擯斥
다견빈척|多見擯斥
다견사자문지|多遣使者問之
다견이식지|多見而識之
다견이지지|多見而識之
다견주축|多見誅逐
다견흑왈백|多見黑曰白
다경|多輕
다계이검막|多稽而儉貌
다계이검모|多稽而儉貌
다계이무단|多計而無斷
다계지|多洎之
다계지즉담이부가사|多洎之則淡而不可食
다계지즉담이부가식|多洎之則淡而不可食
다계지즉담이불가사|多洎之則淡而不可食
다계지즉담이불가식|多洎之則淡而不可食
다계지칙담이부가사|多洎之則淡而不可食
다계지칙담이부가식|多洎之則淡而不可食
다계지칙담이불가사|多洎之則淡而不可食
다계지칙담이불가식|多洎之則淡而不可食
다고|多故
다고야|多故也
다고의|多故矣
다고자|多古字
다고풍질|多苦風疾
다곡상붕부|多曲相朋附
다곤어소뇨|多困於所溺
다곤어소닉|多困於所溺
다곤어소요|多困於所溺
다곤어소익|多困於所溺
다곤오소뇨|多困於所溺
다곤오소닉|多困於所溺
다곤오소요|多困於所溺
다곤오소익|多困於所溺
다공|多功
다과|多寡
다과|多過
다과무처|多寡無妻
다과부일|多寡不一
다과불일|多寡不一
다과실|多過失
다과지|多寡之
다과지삭|多寡之數
다과지수|多寡之數
다과지절|多寡之節
다과지촉|多寡之數
다괴걸부기지재|多魁傑不羈之材
다괴걸불기지재|多魁傑不羈之材
다교녕지도|多巧佞之徒
다교열부법|多驕淫不法
다교열불법|多驕淫不法
다교염부법|多驕淫不法
다교염불법|多驕淫不法
다교영지도|多巧佞之徒
다교요부법|多驕淫不法
다교요불법|多驕淫不法
다교윤부법|多驕淫不法
다교윤불법|多驕淫不法
다교음부법|多驕淫不法
다교음불법|多驕淫不法
다구|多咎
다구무부|多拘無夫
다구상붕부|多曲相朋附
다구야|多懼也
다구지학이삭명오지훈|多寇之虐而欲明吾之勳
다구지학이속명오지훈|多寇之虐而欲明吾之勳
다구지학이숙명오지훈|多寇之虐而欲明吾之勳
다구지학이욕명오지훈|多寇之虐而欲明吾之勳
다구지학이유명오지훈|多寇之虐而欲明吾之勳
다권경소거병|多勸景素擧兵
다권경소여병|多勸景素擧兵
다권략|多權略
다권물행|多勸勿行
다권약|多權略
다권토노|多勸討虜
다권토로|多勸討虜
다궐략|多闕略
다궐약|多闕略
다궐회조지례|多闕會朝之禮
다궐회조지예|多闕會朝之禮
다귀|多歸
다귀|多鬼
다귀류비|多歸劉備
다귀승사|多歸僧寺
다귀승시|多歸僧寺
다귀심|多歸心
다귀유비|多歸劉備
다귀제|多歸帝
다귀지|多歸之
다극자지|多棘刺之
다극자지설야|多棘刺之說也
다극자지세야|多棘刺之說也
다극자지열야|多棘刺之說也
다극자지탈야|多棘刺之說也
다근번식지|多近藩植之
다근번치지|多近藩植之
다근신|多近臣
다근어리야|多近於利也
다근어이야|多近於利也
다근오리야|多近於利也
다근오이야|多近於利也
다근친|多近親
다금자|多今字
다기류|茶器類
다기미녀완호|多其美女玩好
다기미여완호|多其美女玩好
다기부|多其部
다기사|多譏辭
다기어자|多起於茲
다기어차|多起於此
다기예|多技藝
다기예협지삭|多技藝挾智數
다기예협지수|多技藝挾智數
다기예협지촉|多技藝挾智數
다기오자|多起於茲
다기오차|多起於此
다기유|茶器類
다기차|多其車
다기참획지삭자|多其斬獲之數者
다기참획지수자|多其斬獲之數者
다기참획지촉자|多其斬獲之數者
다기휘|多忌諱
다난흥방자|多難興邦者
다남도강|多南渡江
다남배경명호|多濫北境名號
다남북경명호|多濫北境名號
다납화회|多納貨賄
다납회뇌|多納賄賂
다납회뢰|多納賄賂
다내군인|多内郡人
다내총|多內寵
다노|多露
다노사|多老死
다노지시이내|多露之時而來
다노지시이래|多露之時而來
다녹|茶錄
다뇌토부능거|多懷土不能去
다뇌토불능거|多懷土不能去
다능|多能
다능강우지풍|多能降雨止風
다능비사|多能鄙事
다능이부이척탕시|多能而不以滌蕩是
다능이불이척탕시|多能而不以滌蕩是
다능지비|多能知非
다능파차|多能破車
다능항우지풍|多能降雨止風
다다과과|多多寡寡
다단|多端
다단과요|多端寡要
다단예|多端倪
다담배경명호|多濫北境名號
다담북경명호|多濫北境名號
다담불사|多談佛事
다당여|多黨與
다대|多大
다대국지교이위세조구자|多大國之交而威勢蚤具者
다대략|多大略
다대산심곡|多大山深谷
다대선인지미|多大先人之美
다대세소지물|多載細小之物
다대약|多大略
다대어전인지공|多大於前人之功
다대언|多大言
다대오전인지공|多大於前人之功
다대자량|多載資糧
다대자양|多載資糧
다대전인지공미|多大前人之功美
다대절|多大節
다대지명|多大之名
다도|多盜
다도량사|多道梁事
다도양사|多道梁事
다독|茶毒
다동어선즉공다|多同於善則功多
다동어선칙공다|多同於善則功多
다동오선즉공다|多同於善則功多
다동오선칙공다|多同於善則功多
다득기의|多得其宜
다득기인|多得其人
다득춘추요의|多得春秋要義
다람배경명호|多濫北境名號
다람북경명호|多濫北境名號
다략남토|多掠南土
다략부녀|多略婦女
다략부여|多略婦女
다량주인|多涼州人
다력|多力
다력년삭|多歷年數
다력년소|多歷年所
다력년수|多歷年數
다력년촉|多歷年數
다력사임|多歷事任
다력선사|多力善射
다력선야|多力善射
다력연삭|多歷年數
다력연소|多歷年所
다력연수|多歷年數
다력연촉|多歷年數
다력이벌|多力而伐
다력이벌공|多力而伐功
다력이변협자|多力而騈脅者
다력이병협자|多力而騈脅者
다력이부벌공|多力而不伐功
다력이불벌공|多力而不伐功
다력즉강|多力則彊
다력칙강|多力則彊
다련지|多憐之
