차|此
차가|此家
차가|此歌
차가|車駕
차가갱용|此可更用
차가견영웅지|此可見英雄之
차가경용|此可更用
차가계소이지기무원야|此賈季所以知其無援也
차가관야|此加官也
차가관인|此可觀仁
차가궤포자위지|此假鞼匏字爲之
차가규대|且可規大
차가기행봉천|車駕既幸奉天
차가난야|此家亂也
차가남정|車駕南征
차가뇌토지정|且加懷土之情
차가동순|車駕東巡
차가동천|車駕東遷
차가득야|且可得也
차가란야|此家亂也
차가뢰토지정|且加懷土之情
차가림기분|車駕臨其墳
차가문지화야|此家門之禍也
차가미가동|車駕未可動
차가미가원정|車駕未可遠征
차가발동|車駕發東
차가법종자제왈노부|車駕法從次第曰鹵簿
차가법종자제왈로부|車駕法從次第曰鹵簿
차가법종차제왈노부|車駕法從次第曰鹵簿
차가법종차제왈로부|車駕法從次第曰鹵簿
차가병상|此假病象
차가복림지|車駕復臨之
차가복임지|車駕復臨之
차가비경|車駕肥輕
차가사량적상지|且可使兩賊相持
차가사양적상지|且可使兩賊相持
차가사위이지증|此假祀爲已之證
차가서|車駕西
차가소병이이|差可少病而已
차가소복림지|車駕素服臨之
차가소복임지|車駕素服臨之
차가솔|此家率
차가송지하남|車駕送至河南
차가식호|且可飾乎
차가씨기위원비|且賈氏旣爲元妃
차가야환|車駕夜還
차가언사학지소이악|此家言邪學之所以惡
차가여위원|此可與爲援
차가왕행|車駕往幸
차가운운천근건야|此家抎抎千斤犍也
차가운운천흔건야|此家抎抎千斤犍也
차가위선가첩|此可謂善嫁妾
차가위중흥자의|此可謂中興者矣
차가위지의여부의지변호|此可謂知義與不義之辯乎
차가위지의여부의지별호|此可謂知義與不義之別乎
차가위지의여부의지편호|此可謂知義與不義之辯乎
차가위지의여부의지평호|此可謂知義與不義之辯乎
차가위지의여불의지변호|此可謂知義與不義之辯乎
차가위지의여불의지별호|此可謂知義與不義之別乎
차가위지의여불의지편호|此可謂知義與不義之辯乎
차가위지의여불의지평호|此可謂知義與不義之辯乎
차가위후속지권|且可爲厚俗之勸
차가의고사|車駕依故事
차가이관덕행의|此可以觀德行矣
차가이보지|此可以補之
차가이수성|此可以守成
차가이식검핵지번|且可以息檢覈之煩
차가이위이자|此加以爲二字
차가이인피|車可以引避
차가인광협중물이|此家人筐篋中物耳
차가인부자|且家人父子
차가인어|此假人於
차가인오|此假人於
차가일비자|且加一鄙字
차가임기분|車駕臨其墳
차가입|車駕入
차가자림문광병|車駕自臨問光病
차가자임문광병|車駕自臨問光病
차가자지지|此嫁者之志
차가자행|車駕自幸
차가자행낙양옥|車駕自幸洛陽獄
차가자행락양옥|車駕自幸洛陽獄
차가재외|車駕在外
차가정기위원비|且賈氏旣爲元妃
차가조송|車駕祖送
차가즉노야|且葭即蘆也
차가즉로야|且葭即蘆也
차가증폐설지의|此可證敝舌之義
차가지|車駕至
차가지기위원비|且賈氏旣爲元妃
차가지야|此可知也
차가지자섬주|車駕至自陝州
차가징묵자재공자후이미급전국야|此可徵墨子在孔子後而未及戰國也
차가취야|此可取也
차가친림|車駕親臨
차가친임|車駕親臨
차가친정|車駕親征
차가행추가|車駕行秋稼
차가행태학|車駕幸太學
차가행행|車駕行幸
차가현영웅지|此可見英雄之
차가환|車駕還
차가환가|且可還家
차가환궁|車駕還宮
차가환자|車駕還自
차가회토지정|且加懷土之情
차각소기단|且各疏其短
차각자|次角者
차간|差簡
차간|此間
차간낙|此間樂
차간락|此間樂
차간본재제십장지수|此簡本在第十章之首
차간분재제십장지수|此簡本在第十章之首
차간악|此間樂
차간요|此間樂
차간유진의|此間有眞意
차간인지소이기야|此姦人之所以起也
차감괘지명|此坎卦之名
차감찰지|且監察之
차갑|次甲
차갑동의|叉甲同義
차갑순|此甲盾
차갑지리야|此甲之利也
차갑지이야|此甲之利也
차갑흔이장지부고|車甲釁而藏之府庫
차강|差降
차강|此剛
차강|此彊
차강대지태시야|此彊大之殆時也
차강동|此江東
차강목소심석야|此綱目所甚惜也
차강목소이비군자막능수야여|此綱目所以非君子莫能修也歟
차강목소이비군자맥능수야여|此綱目所以非君子莫能修也歟
차강목소이비군자모능수야여|此綱目所以非君子莫能修也歟
차강목소이지서태황태후지호|此綱目所以止書太皇太后之號
차강목소이특서이여지|此綱目所以特書而予之
차강목어광무소렬원제미곤일지시|此綱目於光武昭烈元帝未混一之時
차강목어광무소렬원제미혼일지시|此綱目於光武昭烈元帝未混一之時
차강목어광무소열원제미곤일지시|此綱目於光武昭烈元帝未混一之時
차강목어광무소열원제미혼일지시|此綱目於光武昭烈元帝未混一之時
차강목어송욱자업지시|此綱目於宋昱子業之弑
차강목오광무소렬원제미곤일지시|此綱目於光武昭烈元帝未混一之時
차강목오광무소렬원제미혼일지시|此綱目於光武昭烈元帝未混一之時
차강목오광무소열원제미곤일지시|此綱目於光武昭烈元帝未混一之時
차강목오광무소열원제미혼일지시|此綱目於光武昭烈元帝未混一之時
차강목오송욱자업지시|此綱目於宋昱子業之弑
차강목지권형야|此綱目之權衡也
차강목지대절야|此綱目之大節也
차강목지변례야|此綱目之變例也
차강목지변예야|此綱目之變例也
차강목지소이위강목|此綱目之所以爲綱目
차강목지소이위강목야여|此綱目之所以爲綱目也歟
차강목지소이특서|此綱目之所以特書
차강목지작|此綱目之作
차강목특서장환견|此綱目特書張奐遣
차강본약적지리야|此强本弱敵之利也
차강본약적지이야|此强本弱敵之利也
차강분약적지리야|此强本弱敵之利也
차강분약적지이야|此强本弱敵之利也
차강사|此強仕
차강약변작춘주|此江若變作春酒
차강인의|差强人意
차강인의|差彊人意
차강일소이여지|此綱日所以予之
차강폭지남|此彊暴之男
차강호내심사탄여갈|且羌胡乃心思漢如渇
차강호내심사한여갈|且羌胡乃心思漢如渇
차개|此皆
차개|此蓋
차개|車盖
차개|車蓋
차개|此豈
차개|次鍇
차개가사환지이립유교자야|此皆可使還至而立有效者也
차개가사환지이립유효자야|此皆可使還至而立有效者也
차개가사환지이입유교자야|此皆可使還至而立有效者也
차개가사환지이입유효자야|此皆可使還至而立有效者也
차개가위지시|此豈可爲之時
차개가의|此皆可疑
차개가일개복지|此豈可一槪服之
차개가일걸복지|此豈可一槪服之
차개가호소유이|此皆家戶所有耳
차개간신작복지노|此開姦臣作福之路
차개간신작복지로|此開姦臣作福之路
차개강간기군자|此皆强諫其君者
차개개|此介介
차개거사상례|此皆據士喪禮
차개거사상례수미삼월자야|此皆據士喪禮首尾三月者也
차개거사상예|此皆據士喪禮
차개거사상예수미삼월자야|此皆據士喪禮首尾三月者也
차개경부형급군일인|此皆敬父兄及君一人
차개경용사연|此皆敬用使然
차개경중지권형야|此葢輕重之權衡也
차개계수지류야|此皆計數之類也
차개계수지유야|此皆計數之類也
차개계촉지류야|此皆計數之類也
차개계촉지유야|此皆計數之類也
차개고석지제도야|此皆古昔之制度也
차개고소부용|此皆孤所不用
차개고소불용|此皆孤所不用
차개고운|此皆古韻
차개고인지소행자|此皆古人之所行者
차개고지량검야|此皆古之良劒也
차개고지량마야|此皆古之良馬也
차개고지양검야|此皆古之良劒也
차개고지양마야|此皆古之良馬也
차개곡무시야|此皆哭無時也
차개공립이우수재상야|此蓋拱立而右手在上也
차개공입이우수재상야|此蓋拱立而右手在上也
차개과심용|且改過甚勇
차개과지문야|此改過之門也
차개관중소급재|此豈管仲所及哉
차개구진구퇴|此皆俱進俱退
