쾌|夬
쾌검작단생교타|快劍斫斷生蛟鼉
쾌검장극삼상향|快劍長戟森相向
쾌괘|夬卦
쾌단근주|快斷根株
쾌도내성|夬道乃成
쾌도내성야|夬道乃成也
쾌리|夬履
쾌리정려|夬履貞厲
쾌립|儈立
쾌사|儈死
쾌사야|快辭也
쾌사즉려씨지독|噲死則呂氏之毒
쾌사즉려정지독|噲死則呂氏之毒
쾌사즉려지지독|噲死則呂氏之毒
쾌사즉여씨지독|噲死則呂氏之毒
쾌사즉여정지독|噲死則呂氏之毒
쾌사즉여지지독|噲死則呂氏之毒
쾌사칙려씨지독|噲死則呂氏之毒
쾌사칙려정지독|噲死則呂氏之毒
쾌사칙려지지독|噲死則呂氏之毒
쾌사칙여씨지독|噲死則呂氏之毒
쾌사칙여정지독|噲死則呂氏之毒
쾌사칙여지지독|噲死則呂氏之毒
쾌성기수|快成其手
쾌수유지삭|快須臾之欲
쾌수유지속|快須臾之欲
쾌수유지숙|快須臾之欲
쾌수유지욕|快須臾之欲
쾌수유지유|快須臾之欲
쾌시역재기중|噲時亦在其中
쾌심사과필유앙|快心事過必有殃
쾌야|快也
쾌양우왕정|夬揚于王庭
쾌어심여|快於心與
쾌연약미시유질자|快然若未始有疾者
쾌연자득|快然自得
쾌우위독|快牛為犢
쾌운|夬韻
쾌위강장|夬爲剛長
쾌의당전|快意當前
쾌의류지|快意留之
쾌의유지|快意留之
쾌이강결유|夬以剛決柔
쾌이목자|快耳目者
쾌익|快翼
쾌입|儈立
쾌자|夬者
쾌자결야|夬者決也
쾌전|夬傳
쾌지사어혜제지륙년|噲之死於惠帝之六年
쾌지사어혜제지륙연|噲之死於惠帝之六年
쾌지사어혜제지육년|噲之死於惠帝之六年
쾌지사어혜제지육연|噲之死於惠帝之六年
쾌지사오혜제지륙년|噲之死於惠帝之六年
쾌지사오혜제지륙연|噲之死於惠帝之六年
쾌지사오혜제지육년|噲之死於惠帝之六年
쾌지사오혜제지육연|噲之死於惠帝之六年
쾌지상야|夬之象也
쾌지위의|夬之爲義
쾌출벌연|噲出伐燕
쾌쾌|夬夬
쾌쾌기정|噲噲其正
쾌쾌야|夬夬也
