시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
가평군,가평읍,941,,,,596,294,51,,85.0,,3.0,2022-06-14
가평군,북면,289,,,,176,93,20,,185.0,,0.0,2022-06-14
가평군,상면,399,,,,217,153,29,,243.0,,0.0,2022-06-14
가평군,설악면,1111,,,,446,612,53,,625.0,,1.0,2022-06-14
가평군,조종면,416,,,,218,161,37,,274.0,,1.0,2022-06-14
가평군,청평면,861,,,,517,253,91,,594.0,,2.0,2022-06-14
고양시,가좌동,1354,6.0,1347.0,1.0,848,348,158,64.0,952.0,1.42,,2022-06-03
고양시,강매동,63,0.0,63.0,0.0,57,5,1,15.0,30.0,2.1,,2022-06-03
고양시,고양동,1577,19.0,1557.0,1.0,968,510,99,63.0,1182.0,1.33,,2022-06-03
고양시,관산동,1184,15.0,1169.0,0.0,672,442,70,60.0,855.0,1.38,,2022-06-03
고양시,구산동,152,2.0,150.0,0.0,97,42,13,31.0,90.0,1.69,,2022-06-03
고양시,내곡동,84,2.0,82.0,0.0,54,25,5,24.0,55.0,1.53,,2022-06-03
고양시,내유동,1233,18.0,1215.0,0.0,719,433,81,66.0,846.0,1.46,,2022-06-03
고양시,대자동,165,5.0,160.0,0.0,86,64,15,34.0,119.0,1.39,,2022-06-03
고양시,대장동,112,1.0,111.0,0.0,67,38,7,25.0,76.0,1.47,,2022-06-03
고양시,대화동,3964,28.0,3935.0,1.0,2619,1112,233,100.0,2950.0,1.34,,2022-06-03
고양시,덕은동,177,3.0,174.0,0.0,81,86,10,43.0,115.0,1.54,,2022-06-03
고양시,덕이동,2546,14.0,2532.0,0.0,1513,899,134,87.0,1697.0,1.5,,2022-06-03
고양시,도내동,1013,10.0,1003.0,0.0,558,413,42,56.0,779.0,1.3,,2022-06-03
고양시,동산동,1315,7.0,1308.0,0.0,719,518,78,63.0,716.0,1.84,,2022-06-03
