시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,축산업무구분명,축산고유번호,권리주체일련번호
가평군,예쁜강아지,20080909,,4,말소,20220526.0,,,,경기도 가평군 가평읍 가화로 ***-*,경기도 가평군 가평읍 읍내리 ***-*번지 ,,,,,245212.733716023,480846.13394724,동물관련영업,,000
가평군,자이언트 펫,20160517,,4,말소,20220526.0,031-585-7003,0.0,12457.0,경기도 가평군 청평면 경춘로 ***,경기도 가평군 청평면 대성리 ***-**번지 ,12457.0,,,,233842.021227323,466192.802959067,동물관련영업,,000
가평군,메이플켄넬,20170227,,4,말소,,585-0588,0.0,12416.0,경기도 가평군 가평읍 석봉로*번길 ***-**,경기도 가평군 가평읍 대곡리 ***-* ,,,,,243247.301369939,480064.513852221,동물관련영업,0.0,000
가평군,리얼펫독,20150120,,4,말소,20220526.0,,0.0,12467.0,경기도 가평군 설악면 신천중앙로 **,경기도 가평군 설악면 신천리 ***-* ,,,,,243200.199050751,463336.290376293,동물관련영업,,000
가평군,강아지나라,20100311,,4,말소,20220526.0,,,,경기도 가평군 청평면 청평중앙로 **-*,경기도 가평군 청평면 청평리 ***-**번지 ,,,,,236894.589287939,470644.366611127,동물관련영업,,000
가평군,띠울 애견미용,20180426,,4,말소,20220526.0,,0.0,12412.0,경기도 가평군 가평읍 가화로 ***-*,경기도 가평군 가평읍 읍내리 ***-*번지 ,,,,,245062.317360632,481201.53995205,동물관련영업,,000
가평군,보우애견샵,20090708,,4,말소,,,0.0,,경기도 가평군 하면 현창로**번길 **-*,경기도 가평군 하면 현리 ***-** ,,,,,,,동물관련영업,,000
가평군,자이언트펫,20180517,,4,말소,20220526.0,,0.0,12457.0,경기도 가평군 청평면 경춘로 ***,경기도 가평군 청평면 대성리 ***-**번지 ,12457.0,,,,233842.021227323,466192.802959067,동물관련영업,,000
가평군,개꿈,20200604,,4,말소,20220701.0,,0.0,12419.0,경기도 가평군 가평읍 가화로 **,경기도 가평군 가평읍 읍내리 ***-* 원할머니보쌈 ,,,,,245294.918893475,480565.896254516,동물관련영업,0.0,000
가평군,(주)코스코케이알,20100310,,4,말소,20220701.0,585-9975,,,경기도 가평군 설악면 신천중앙로**번길 ***-**,경기도 가평군 설악면 신천리 *** ,,,,,243178.282430634,462157.43324989,동물관련영업,0.0,L00
가평군,띠울 애견미용,20180426,,4,말소,20220701.0,,0.0,12412.0,경기도 가평군 가평읍 가화로 ***-*,경기도 가평군 가평읍 읍내리 ***-* ,,,,,245062.317360632,481201.53995205,동물관련영업,0.0,000
가평군,꽃이랑개랑,20210416,,4,말소,20220701.0,,0.0,12463.0,경기도 가평군 설악면 한서로 ***,경기도 가평군 설악면 위곡리 ***-* ,12463.0,,,,245175.357146563,463057.27262895,동물관련영업,0.0,000
가평군,사마소,20191018,,4,말소,20220701.0,,0.0,12403.0,경기도 가평군 북면 멱골로 ***,경기도 가평군 북면 목동리 *** ,,,,,251096.613124078,491356.574357666,동물관련영업,0.0,000
가평군,리얼펫독,20150120,,4,말소,20220701.0,,0.0,12467.0,경기도 가평군 설악면 신천중앙로 **,경기도 가평군 설악면 신천리 ***-* ,,,,,243200.199050751,463336.290376293,동물관련영업,0.0,000
가평군,한국애견대학,20200427,,4,말소,20220701.0,,0.0,12473.0,경기도 가평군 설악면 유명로 ***,경기도 가평군 설악면 가일리 ***-* 금정컨설팅 ,12473.0,,,,243050.728350968,455115.715097073,동물관련영업,0.0,000
가평군,씽크독,20190612,,4,말소,20220701.0,031-585-7003,0.0,12457.0,경기도 가평군 청평면 경춘로 ***,경기도 가평군 청평면 대성리 ***-** ,12457.0,,,,233842.021227323,466192.802959067,동물관련영업,0.0,000
가평군,베베(BEBE),20210416,,4,말소,20220701.0,,0.0,12412.0,경기도 가평군 가평읍 가화로 ***,경기도 가평군 가평읍 읍내리 ***-* ,,,,,245106.22117099,481080.570243268,동물관련영업,0.0,000
가평군,자이언트 펫,20160517,,4,말소,20220701.0,031-585-7003,0.0,12457.0,경기도 가평군 청평면 경춘로 ***,경기도 가평군 청평면 대성리 ***-** ,12457.0,,,,233842.021227323,466192.802959067,동물관련영업,0.0,000
가평군,강아지나라,20190225,,4,말소,20220701.0,031-585-6487,0.0,12452.0,경기도 가평군 청평면 청평중앙로 **-*,경기도 가평군 청평면 청평리 ***-** ,,,,,236894.589287939,470644.366611127,동물관련영업,0.0,000
가평군,온리멍,20220519,,4,말소,20220701.0,,0.0,12412.0,경기도 가평군 가평읍 가화로 ***,경기도 가평군 가평읍 읍내리 ***-* ,,,,,245017.229061592,481226.542170276,동물관련영업,0.0,000
가평군,사마소,20191018,,4,말소,20220701.0,,0.0,12403.0,경기도 가평군 북면 멱골로 ***,경기도 가평군 북면 목동리 *** ,,,,,251096.613124078,491356.574357666,동물관련영업,0.0,000
가평군,개판살판,20190424,,4,말소,20220701.0,,0.0,12428.0,경기도 가평군 가평읍 북한강변로 ***,경기도 가평군 가평읍 금대리 **-* ,12428.0,,,,246992.525588349,472357.571185787,동물관련영업,0.0,000
가평군,예쁜강아지,20180516,,4,말소,20220701.0,031-582-1788,0.0,12419.0,경기도 가평군 가평읍 가화로 **,경기도 가평군 가평읍 읍내리 ***-** ,,,,,245239.106692683,480718.993578817,동물관련영업,0.0,000
가평군,몽드리,20220411,,4,말소,20220701.0,031-582-7979,0.0,12414.0,경기도 가평군 가평읍 석봉로 ***-*,경기도 가평군 가평읍 읍내리 ***-* ,,,,,244719.470753711,481454.489268265,동물관련영업,0.0,000
가평군,띠울 애견미용,20180426,,4,말소,20220701.0,,0.0,12412.0,경기도 가평군 가평읍 가화로 ***-*,경기도 가평군 가평읍 읍내리 ***-* ,,,,,245062.317360632,481201.53995205,동물관련영업,0.0,000
가평군,씽크독,20190612,,4,말소,20220701.0,031-585-7003,0.0,12457.0,경기도 가평군 청평면 경춘로 ***,경기도 가평군 청평면 대성리 ***-** ,12457.0,,,,233842.021227323,466192.802959067,동물관련영업,0.0,000
가평군,장고하우스,20200717,,4,말소,20220701.0,,0.0,12447.0,경기도 가평군 상면 왕대벌길 ***,경기도 가평군 상면 임초리 *** ,,,,,232801.566866422,474061.279082101,동물관련영업,0.0,L00
가평군,개꿈,20200604,,4,말소,20220701.0,,0.0,12419.0,경기도 가평군 가평읍 가화로 **,경기도 가평군 가평읍 읍내리 ***-* ,,,,,245294.918893475,480565.896254516,동물관련영업,0.0,000
